,period,c_a_estimated,c_a_calculated,c_s_estimated,c_s_calculated
63,64.0,3.6439489626759816,2.1170333558172243,2.9343162298813517,1.0199761752741905
64,65.0,2.1469756952064643,1.2653628497585132,1.7738121498808817,1.1286718146524877
65,66.0,2.448878115879467,2.064582477817906,1.6773900794104797,1.3085200877576482
66,67.0,4.0351726522123705,1.597650672430251,2.859580381904706,0.9813780035891876
67,68.0,5.214621231141153,1.9051173904613723,3.7543344781228583,0.9567608358418557
68,69.0,4.410823510224011,1.8210177775232552,3.2203750986312705,1.2369370174389165
69,70.0,4.773717556048407,1.9936249572716083,3.4911717847024093,1.0191828154667286
70,71.0,4.465544412148993,1.3603919079040114,3.189562896209959,0.8870659976932999
71,72.0,3.056564859211555,1.7353712269469954,2.180429620699489,1.2257704842983346
72,73.0,3.894205774841143,1.7796662915118961,2.8527797397305434,1.0947224177477282
73,74.0,5.567538642829109,2.010946900419425,4.054830266857341,1.1876833857263616
74,75.0,4.647651387891824,1.6165415775154572,3.297967091815145,1.1703106661546017
75,76.0,5.524486000801584,1.9412417505476762,3.9871400433166784,1.0816140974360273
76,77.0,5.983039009344268,1.3581483214127843,4.179971655057355,0.9495073510585298
77,78.0,4.307390254325733,2.1037435636019377,3.210836143389647,1.2667803598674081
78,79.0,2.608611324321162,1.7319325481066208,2.1115990306951398,1.18143513136734
79,80.0,4.509683343068572,2.434077896536825,3.2265503137374765,1.4079250660402645
80,81.0,4.838060019938415,1.982493852547199,3.396591987238976,0.8741608061550602
81,82.0,3.0634238126198845,1.8311789293670617,2.351608909143374,1.0905872564347252
82,83.0,4.583501400739074,2.2590468000794934,3.5427776423742436,1.306952543715892
83,84.0,4.287996271291584,1.6060606556961439,3.2253789801272963,1.07628811892914
84,85.0,2.7747781020757682,2.116989015677435,2.0113497074840327,1.2803446794367914
85,86.0,3.9738757153734396,1.7550331394358782,3.0562923768823684,1.157971816741668
86,87.0,3.8529949543085356,1.8292517662537877,2.8700371156381803,1.1898588314340273
87,88.0,5.770837303267565,2.3612003830468518,4.169082039806517,1.342829484736769
88,89.0,7.1099171074315946,1.7293660421975712,4.799144449057665,0.7983455577262761
89,90.0,6.105673050110376,2.2983237593807018,4.251158953601488,1.2338090213081867
90,91.0,4.001495858708768,1.9889206622044435,2.870894625617899,1.268101475271041
91,92.0,4.474485101107608,2.261542426411184,3.139391222277746,1.3437062992549385
92,93.0,7.513732183307514,2.5438913458876313,5.266090146354645,1.1756040391577756
93,94.0,7.899389015034334,2.0102762597385926,5.579558824053201,0.8691868089666718
94,95.0,5.689200898552319,2.2434760646381937,4.0726124901146195,1.1803725050239755
95,96.0,5.771899954680101,2.440079522006955,4.26648924194206,1.174724639500648
96,97.0,3.483610058345637,1.518310980307881,2.6072843914464814,1.2548262607613025
97,98.0,5.020507002953216,2.1261729131495968,3.6224975676490203,1.0569689421530397
98,99.0,6.452428055147614,2.131856914350279,4.785437325532892,1.100992321637735
99,100.0,4.995512969880753,1.9903109658448148,4.145256715816168,0.9061385248962374
